*BOM Import Format
*Export Date: 2025-12-04T16:09:16.710213
*Source: MongoDB utkarshproduction.BOMAUTOMATION
*Confidence Threshold: 0.9
*
ITEM_NO	DESCRIPTION	QUANTITY	UNIT	CONFIDENCE	SOURCE
531	282	1	PC	1.00	vector
532	317	1	PC	1.00	vector
533	650	1	PC	1.00	vector
534	12x	1	PC	1.00	vector
535	65	1	PC	1.00	vector
536	1	1	PC	1.00	vector
537	2x	1	PC	1.00	vector
538	115	1	PC	1.00	vector
539	1	1	PC	1.00	vector
540	1	1	PC	1.00	vector
541	0	1	PC	1.00	vector
542	-1	1	PC	1.00	vector
543	1	1	PC	1.00	vector
544	0	1	PC	1.00	vector
545	-1	1	PC	1.00	vector
546	60	1	PC	1.00	vector
547	25	1	PC	1.00	vector
548	273	1	PC	1.00	vector
549	20	1	PC	1.00	vector
550	3209	1	PC	1.00	vector
551	0	1	PC	1.00	vector
552	189	1	PC	1.00	vector
553	260	1	PC	1.00	vector
554	331	1	PC	1.00	vector
555	401	1	PC	1.00	vector
556	472	1	PC	1.00	vector
557	615	1	PC	1.00	vector
558	726	1	PC	1.00	vector
559	856	1	PC	1.00	vector
560	2162	1	PC	1.00	vector
561	20	1	PC	1.00	vector
562	45	1	PC	1.00	vector
563	$	1	PC	1.00	vector
564	45	1	PC	1.00	vector
565	$	1	PC	1.00	vector
566	400	1	PC	1.00	vector
567	2812	1	PC	1.00	vector
568	397	1	PC	1.00	vector
569	100	1	PC	1.00	vector
570	100	1	PC	1.00	vector
571	967	1	PC	1.00	vector
572	11	1	PC	1.00	vector
573	1	1	PC	1.00	vector
574	10	1	PC	1.00	vector
575	1	1	PC	1.00	vector
576	3182	1	PC	1.00	vector
577	1	1	PC	1.00	vector
578	17	1	PC	1.00	vector
579	1	1	PC	1.00	vector
580	Item	1	PC	1.00	vector
581	no.	1	PC	1.00	vector
582	Mass	1	PC	1.00	vector
583	(kg)	1	PC	1.00	vector
584	Certificate	1	PC	1.00	vector
585	Format	1	PC	1.00	vector
586	Status	1	PC	1.00	vector
587	Revised	1	PC	1.00	vector
588	by	1	PC	1.00	vector
589	Created	1	PC	1.00	vector
590	date	1	PC	1.00	vector
591	Created	1	PC	1.00	vector
592	by	1	PC	1.00	vector
593	762849	1	PC	1.00	vector
594	195	1	PC	1.00	vector
595	EN	1	PC	1.00	vector
596	10204:2004-3.1	1	PC	1.00	vector
597	A3	1	PC	1.00	vector
598	KAJAY	1	PC	1.00	vector
599	2008-01-13	1	PC	1.00	vector
600	kebon	1	PC	1.00	vector
601	Material	1	PC	1.00	vector
602	/	1	PC	1.00	vector
603	Specification	1	PC	1.00	vector
604	Scale	1	PC	1.00	vector
605	Change	1	PC	1.00	vector
606	no.	1	PC	1.00	vector
607	PDM	1	PC	1.00	vector
608	ver.	1	PC	1.00	vector
609	Reviewed	1	PC	1.00	vector
610	date	1	PC	1.00	vector
611	Reviewed	1	PC	1.00	vector
612	by	1	PC	1.00	vector
613	EN	1	PC	1.00	vector
614	10025:2004	1	PC	1.00	vector
615	-	1	PC	1.00	vector
616	S355J2+N	1	PC	1.00	vector
617	+	1	PC	1.00	vector
618	Option	1	PC	1.00	vector
619	5	1	PC	1.00	vector
620	1:10	1	PC	1.00	vector
621	387909	1	PC	1.00	vector
622	7.5	1	PC	1.00	vector
623	-	1	PC	1.00	vector
624	Proj.	1	PC	1.00	vector
625	Item	1	PC	1.00	vector
626	description	1	PC	1.00	vector
627	Table_Version=1	1	PC	1.00	vector
628	REAR	1	PC	1.00	vector
629	FOUNDATION,	1	PC	1.00	vector
630	TOP	1	PC	1.00	vector
631	PLATE	1	PC	1.00	vector
632	-	1	PC	1.00	vector
633	Pro/E	1	PC	1.00	vector
634	Replaces	1	PC	1.00	vector
635	/	1	PC	1.00	vector
636	Copy	1	PC	1.00	vector
637	of	1	PC	1.00	vector
638	Drawing	1	PC	1.00	vector
639	no.	1	PC	1.00	vector
640	Ver.	1	PC	1.00	vector
641	Sheet	1	PC	1.00	vector
642	-	1	PC	1.00	vector
643	762849	1	PC	1.00	vector
644	7	1	PC	1.00	vector
645	1	1	PC	1.00	vector
646	of	1	PC	1.00	vector
647	1	1	PC	1.00	vector
648	WARNING:	1	PC	1.00	vector
649	PROPRIETARY	1	PC	1.00	vector
650	AND	1	PC	1.00	vector
651	CONFIDENTIAL	1	PC	1.00	vector
652	INFORMATION.	1	PC	1.00	vector
653	This	1	PC	1.00	vector
654	document	1	PC	1.00	vector
655	and	1	PC	1.00	vector
656	the	1	PC	1.00	vector
657	Information	1	PC	1.00	vector
658	set	1	PC	1.00	vector
659	forth	1	PC	1.00	vector
660	herein	1	PC	1.00	vector
661	are	1	PC	1.00	vector
662	confidential	1	PC	1.00	vector
663	and	1	PC	1.00	vector
664	proprietary	1	PC	1.00	vector
665	to	1	PC	1.00	vector
666	Vestas	1	PC	1.00	vector
667	Wind	1	PC	1.00	vector
668	Systems	1	PC	1.00	vector
669	A/S.	1	PC	1.00	vector
670	It	1	PC	1.00	vector
671	contains	1	PC	1.00	vector
672	trade	1	PC	1.00	vector
673	secrets,	1	PC	1.00	vector
674	and	1	PC	1.00	vector
675	independent	1	PC	1.00	vector
676	economic	1	PC	1.00	vector
677	value,	1	PC	1.00	vector
678	actual	1	PC	1.00	vector
679	or	1	PC	1.00	vector
680	potential,	1	PC	1.00	vector
681	may	1	PC	1.00	vector
682	be	1	PC	1.00	vector
683	derived	1	PC	1.00	vector
684	from	1	PC	1.00	vector
685	the	1	PC	1.00	vector
686	document/Information	1	PC	1.00	vector
687	not	1	PC	1.00	vector
688	being	1	PC	1.00	vector
689	generally	1	PC	1.00	vector
690	known.	1	PC	1.00	vector
691	In	1	PC	1.00	vector
692	consideration	1	PC	1.00	vector
693	of	1	PC	1.00	vector
694	you	1	PC	1.00	vector
695	receiving	1	PC	1.00	vector
696	this	1	PC	1.00	vector
697	document	1	PC	1.00	vector
698	you	1	PC	1.00	vector
699	agree	1	PC	1.00	vector
700	(I)	1	PC	1.00	vector
701	to	1	PC	1.00	vector
702	keep	1	PC	1.00	vector
703	the	1	PC	1.00	vector
704	Information	1	PC	1.00	vector
705	secret	1	PC	1.00	vector
706	(II)	1	PC	1.00	vector
707	only	1	PC	1.00	vector
708	to	1	PC	1.00	vector
709	use	1	PC	1.00	vector
710	the	1	PC	1.00	vector
711	Information	1	PC	1.00	vector
712	for	1	PC	1.00	vector
713	the	1	PC	1.00	vector
714	purpose	1	PC	1.00	vector
715	specifically	1	PC	1.00	vector
716	agreed	1	PC	1.00	vector
717	with	1	PC	1.00	vector
718	Vestas	1	PC	1.00	vector
719	(III)	1	PC	1.00	vector
720	not	1	PC	1.00	vector
721	to	1	PC	1.00	vector
722	disclose	1	PC	1.00	vector
723	directly	1	PC	1.00	vector
724	or	1	PC	1.00	vector
725	indirectly	1	PC	1.00	vector
726	any	1	PC	1.00	vector
727	part	1	PC	1.00	vector
728	of	1	PC	1.00	vector
729	the	1	PC	1.00	vector
730	Information	1	PC	1.00	vector
731	to	1	PC	1.00	vector
732	any	1	PC	1.00	vector
733	third	1	PC	1.00	vector
734	party	1	PC	1.00	vector
735	and	1	PC	1.00	vector
736	(IV)	1	PC	1.00	vector
737	not	1	PC	1.00	vector
738	to	1	PC	1.00	vector
739	make	1	PC	1.00	vector
740	copies	1	PC	1.00	vector
741	or	1	PC	1.00	vector
742	reproductions	1	PC	1.00	vector
743	thereof	1	PC	1.00	vector
744	by	1	PC	1.00	vector
745	whatsoever	1	PC	1.00	vector
746	means	1	PC	1.00	vector
747	or	1	PC	1.00	vector
748	undertake	1	PC	1.00	vector
749	any	1	PC	1.00	vector
750	qualitative	1	PC	1.00	vector
751	or	1	PC	1.00	vector
752	quantitative	1	PC	1.00	vector
753	analysis,	1	PC	1.00	vector
754	reverse	1	PC	1.00	vector
755	engineering	1	PC	1.00	vector
756	or	1	PC	1.00	vector
757	replication.	1	PC	1.00	vector
758	CATEGORY	1	PC	1.00	vector
759	t	1	PC	1.00	vector
760	MATERIAL	1	PC	1.00	vector
761	EU	1	PC	1.00	vector
762	(20)	1	PC	1.00	vector
