Internal Reference,Product Name,Quantity,UoM,Confidence,Source,Specifications,Notes
CAD-H-1,Z25,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,US/BRAZIL,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,(19),1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,ASTM,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,A572,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,GR.50+NORMALIZATION+,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,ASTM,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,A770,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,ZT,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Material,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,and,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,thickness,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,acc.,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,to,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Table,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,01,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Table,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,01,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,B,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,C,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,A,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Basic,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,material:,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Plate,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,EN,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,10029:1991/AC:1991,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,A,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,D,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Form,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,acc.,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,to,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,DXF,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,Form,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,acc.,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,to,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,DXF,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,B,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,C,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,1:20,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,A,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
CAD-H-1,1:2,1,Unit(s),1.00,vector,,"Imported from H.pdf, Page 1"
